Date,Close,High,Low,Open,Volume
2001-09-17,447.7556457519531,452.7307084825304,428.6513927203872,437.80552029079865,1038643
2001-09-18,444.5216979980469,457.7056095782911,441.5863998774324,457.7056095782911,1318195
2001-09-19,446.0143127441406,453.7256589209774,443.77553482183316,452.2331403061058,1487744
2001-09-20,434.8204040527344,449.5465749271376,427.85531748896057,447.7555648140285,843799
2001-09-21,433.82550048828125,441.2880951067723,410.9402103249086,417.9052986355003,2173103
2001-09-24,440.7904052734375,446.76047848255854,432.8303076612761,433.8253198627963,1968088
2001-09-25,446.76055908203125,452.4818802729481,442.5317564626579,446.76055908203125,1035250
2001-09-26,444.7705383300781,455.71567462008005,444.27303213507804,445.7655507200783,1915740
2001-09-27,447.7556457519531,452.48195534600154,439.2980391099718,444.7706081136068,1894132
2001-09-28,454.7207336425781,462.9295871492548,442.28307681428004,443.7755956336758,1038138
2001-10-01,441.0391845703125,466.4119972190276,441.0391845703125,455.9643684813214,541808
2001-10-02,441.2879943847656,461.9842399234055,439.79547580172806,443.5765107326092,823073
2001-10-03,452.23309326171875,456.7106486405477,438.05416789542727,441.28795789124814,1207972
2001-10-04,466.4119873046875,470.88954238281246,449.7455322916666,452.7305690104167,641728
2001-10-05,460.1932373046875,467.15832413956923,455.7156814822635,467.15832413956923,1126622
2001-10-08,461.685791015625,466.46183877653476,452.0341578072965,463.6758159768993,1577090
2001-10-09,464.91949462890625,469.1482968807476,447.0590117955715,461.68570467161584,682645
2001-10-10,462.4320373535156,476.61096480330065,462.1832842403615,464.91956848505686,1286175
2001-10-11,450.74072265625,467.6559374137693,448.25319107426185,467.6559374137693,612815
2001-10-12,443.02923583984375,456.7106552509563,442.2829765992376,452.0340851970113,450117
2001-10-15,443.77545166015625,459.6956472354085,442.780439436703,444.0739431810469,536138
2001-10-16,448.7506408691406,452.73069089902214,446.26310960046465,448.9993939960082,1073951
2001-10-17,440.2929382324219,452.9793449272544,438.80041979773574,449.1236723043151,1208352
2001-10-18,445.76544189453125,445.76544189453125,430.84025968824113,432.83028398241316,1814848
2001-10-19,452.7304992675781,472.6307409936255,430.84023336892596,437.8053179730426,806066
2001-10-22,456.4618835449219,456.4618835449219,442.7804646920768,455.7156243347667,2310892
2001-10-23,453.97442626953125,470.1433784380351,447.75559851241434,449.3476244913103,850953
2001-10-24,454.96942138671875,468.1533357298003,451.2381248745259,455.01915986073385,1152779
2001-10-25,447.7556457519531,474.6209844970703,447.5068926154243,454.9694867112902,474121
2001-10-26,447.7556457519531,472.6309594048394,447.5068926154243,447.7556457519531,874681
2001-10-29,448.7506408691406,465.4668388484942,443.07905743041067,457.705753436374,1156072
2001-10-30,451.4868469238281,457.50665940333255,443.7755013289859,457.50665940333255,629174
2001-10-31,455.7155456542969,462.9791218995861,443.2778942991032,452.33251055875616,763953
2001-11-01,459.19818115234375,471.1383288746149,446.5615126667938,471.1383288746149,184237
2001-11-02,470.88958740234375,478.60093299636,453.0291038481209,459.7952059433809,1221107
2001-11-05,484.8196716308594,492.5310158179074,472.6307727545576,472.6307727545576,2250516
2001-11-06,463.1782531738281,484.57101889506833,459.69570991688204,484.57101889506833,1647974
2001-11-07,475.1183776855469,480.590945386637,466.6607730565895,466.9095261339118,1451199
2001-11-08,497.7548522949219,502.2821456519091,476.4118284911535,476.6108430769966,3974967
2001-11-09,502.48126220703125,503.4762746074412,494.1231641166613,497.80469177895696,2015617
2001-11-12,498.7500305175781,505.0683661543167,491.337175025083,505.0683661543167,2110096
2001-11-13,513.6751098632812,522.3814676575741,500.9887027915973,501.4862089512712,3322918
2001-11-14,517.4063720703125,522.1824187432774,508.84926061299984,512.4313108004056,3182421
2001-11-15,513.4263305664062,522.3814409832622,507.7050100223039,511.68505909646206,2907399
2001-11-16,512.4315795898438,520.3916817970646,507.4565157103307,512.4315795898438,2703463
2001-11-19,494.2723693847656,522.3814673920523,492.5310978267921,522.3814673920523,1582837
2001-11-20,498.162841796875,503.97370975214784,487.5560074601233,499.4961545815957,1500387
2001-11-21,502.48126220703125,510.44136141031095,495.5161754041615,495.5161754041615,1025991
2001-11-22,498.5010681152344,505.2671383307343,498.30205354668914,502.4811165632602,1378166
2001-11-23,494.2723693847656,509.94381340652717,493.0286039862131,502.48122101521216,866811
2001-11-26,500.2424621582031,505.4662770290745,494.5211411091536,505.4662770290745,342269
2001-11-27,492.5310974121094,506.461269864169,489.5460604580966,502.23246751265094,753314
2001-11-28,487.8048095703125,507.4563036835479,487.55605648027154,495.5161553615821,1780802
2001-11-29,493.2773742675781,503.4762508913656,490.5410902953424,492.5311150024229,582652
2001-11-30,510.4415283203125,516.411604674936,494.52132470798307,494.52132470798307,1188519
2001-12-03,507.4563293457031,511.4363789876302,495.51618041992185,507.4563293457031,1018114
2001-12-04,494.5211486816406,513.7248753072353,488.5510744520836,496.31215880436065,2345925
2001-12-05,492.5310974121094,498.501171320135,484.57099886807526,498.30215671038764,1294128
2001-12-06,494.5211486816406,505.46628476916186,485.8645289026358,489.04858063788004,1196718
2001-12-07,482.8297119140625,500.24242692384325,479.09841584053805,498.1300299296147,832215
2001-12-10,464.67071533203125,486.36196998296987,447.75550727925923,447.75550727925923,496083
2001-12-11,473.1284484863281,480.0935360560532,459.4967649537173,467.6558796815441,1412899
2001-12-12,470.3920593261719,487.55602130052716,467.6557755331587,471.1383185424482,1019757
2001-12-13,485.5658874511719,490.5409477734175,464.17312806551575,470.14320045221046,465506
2001-12-14,479.59600830078125,493.02867658306457,475.61595843936396,483.3770435229794,401053
2001-12-17,482.5809631347656,494.32209607107353,470.14330944572527,480.88943008690995,356796
2001-12-18,493.2773742675781,502.4812385378254,485.06852235087104,485.06852235087104,724140
